Dickinson,Minot,Fargo,Grandforks
0.3690607734806629,0.31366120218579235,0.24535519125683064,0.23060109289617484
0.23224043715847004,0.21038251366120214,0.2770491803278689,0.21693989071038255
1.0065573770491805,0.5737704918032785,0.6901639344262296,0.4502732240437159
0.0236111111111111,0.20437158469945363,0.4420765027322405,0.29234972677595633
0.11584699453551914,0.13224043715846995,0.16229508196721312,0.0912568306010929
0.6398907103825137,0.4530054644808742,0.3027322404371586,0.21256830601092902
0.3743169398907104,0.5857923497267761,0.1830601092896175,0.12185792349726786
0.8120218579234973,0.6841530054644809,0.2825136612021859,0.2289617486338798
0.5409836065573771,0.5781420765027322,0.35901639344262287,0.31311475409836065
0.17868852459016396,0.25027322404371594,0.1754098360655738,0.2098360655737706
0.6524590163934428,0.3808743169398907,0.3464480874316941,0.2797814207650273
